balls_faced,runs_scored,dismissals,strike_rate,batting_avg,balls_bowled,runs_conceded,wickets,economy,bowling_avg,player_name
,,,120.0,25.0,18.0,20.0,2.0,6.666666666666667,10.0,Sharif Asadullah
23.0,31.0,2.0,134.7826086956522,15.5,108.0,162.0,5.0,9.0,32.4,Shariz Ahmad
288.0,388.0,17.0,134.72222222222223,22.823529411764707,,,,8.0,30.0,Sharjeel Khan
18.0,28.0,2.0,155.55555555555557,14.0,84.0,114.0,7.0,8.142857142857142,16.285714285714285,Shivam Mavi
1279.0,1650.0,47.0,129.00703674745895,35.1063829787234,282.0,348.0,12.0,7.404255319148936,29.0,Shoaib Malik
,,,120.0,25.0,23.0,31.0,1.0,8.08695652173913,31.0,Shohidul Islam
44.0,56.0,10.0,127.27272727272727,5.6,817.0,1088.0,49.0,7.990208078335373,22.20408163265306,Shoriful Islam
402.0,554.0,18.0,137.81094527363186,30.77777777777778,,,,8.0,30.0,Shubman Gill
35.0,35.0,3.0,100.0,11.666666666666666,66.0,72.0,3.0,6.545454545454545,24.0,Shuvagata Hom
1289.0,1582.0,79.0,122.73079906904579,20.025316455696203,1273.0,1493.0,60.0,7.036920659858602,24.883333333333333,Sikandar Raza
41.0,41.0,6.0,100.0,6.833333333333333,36.0,48.0,2.0,8.0,24.0,Sikander Zulfiqar
14.0,18.0,1.0,128.57142857142858,18.0,,,,8.0,30.0,Simandeep Singh
188.0,195.0,21.0,103.72340425531914,9.285714285714286,683.0,867.0,27.0,7.6163982430453885,32.111111111111114,Simi Singh
59.0,57.0,4.0,96.61016949152543,14.25,210.0,293.0,4.0,8.37142857142857,73.25,Sohag Gazi
230.0,268.0,19.0,116.52173913043478,14.105263157894736,6.0,10.0,0.0,10.0,10.0,Sohaib Maqsood
115.0,136.0,9.0,118.26086956521739,15.11111111111111,818.0,967.0,47.0,7.092909535452323,20.574468085106382,Sohail Tanvir
234.0,261.0,25.0,111.53846153846155,10.44,910.0,1084.0,52.0,7.147252747252747,20.846153846153847,Sompal Kami
1093.0,1350.0,73.0,123.51326623970722,18.493150684931507,270.0,399.0,12.0,8.866666666666667,33.25,Soumya Sarkar
10.0,7.0,2.0,70.0,3.5,166.0,173.0,18.0,6.253012048192772,9.61111111111111,Sufiyan Muqeem
32.0,27.0,5.0,84.375,5.4,234.0,247.0,9.0,6.333333333333334,27.444444444444443,Sultan Ahmed
19.0,17.0,1.0,89.47368421052632,17.0,,,,8.0,30.0,Syed Haider
234.0,355.0,16.0,151.7094017094017,22.1875,,,,8.0,30.0,T Banton
567.0,670.0,33.0,118.16578483245151,20.303030303030305,,,,8.0,30.0,T Bavuma
17.0,8.0,1.0,47.05882352941176,8.0,225.0,316.0,11.0,8.426666666666666,28.727272727272727,T Gwandu
3.0,5.0,0.0,166.66666666666669,5.0,26.0,52.0,1.0,12.0,52.0,T Hinds
,,,120.0,25.0,12.0,17.0,0.0,8.5,17.0,T Kamungozi
3.0,0.0,1.0,0.0,0.0,282.0,412.0,9.0,8.76595744680851,45.77777777777778,T Lungameni
73.0,77.0,3.0,105.47945205479452,25.666666666666668,,,,8.0,30.0,T Maruma
425.0,438.0,34.0,103.05882352941175,12.882352941176471,,,,8.0,30.0,T Marumani
137.0,139.0,8.0,101.45985401459853,17.375,6.0,8.0,1.0,8.0,8.0,T Mishra
227.0,238.0,15.0,104.84581497797356,15.866666666666667,48.0,42.0,2.0,5.25,21.0,T Munyonga
115.0,156.0,9.0,135.65217391304347,17.333333333333332,60.0,70.0,3.0,7.0,23.333333333333332,T Musekiwa
2.0,0.0,0.0,0.0,0.0,132.0,214.0,5.0,9.727272727272727,42.8,T Muzarabani
,,,120.0,25.0,96.0,121.0,9.0,7.5625,13.444444444444445,T Natarajan
10.0,6.0,1.0,60.0,6.0,279.0,353.0,20.0,7.591397849462366,17.65,T Panyangara
4.0,2.0,0.0,50.0,2.0,168.0,246.0,10.0,8.785714285714285,24.6,T Sangha
27.0,10.0,5.0,37.03703703703704,2.0,1474.0,1769.0,87.0,7.200814111261872,20.333333333333332,T Shamsi
478.0,648.0,23.0,135.56485355648536,28.17391304347826,12.0,34.0,0.0,17.0,34.0,T Stubbs
39.0,39.0,3.0,100.0,13.0,,,,8.0,30.0,T Suri
24.0,27.0,1.0,112.5,27.0,,,,8.0,30.0,T Taibu
108.0,151.0,10.0,139.8148148148148,15.1,739.0,916.0,46.0,7.437077131258458,19.91304347826087,T van der Gugten
93.0,90.0,6.0,96.7741935483871,15.0,,,,8.0,30.0,TA Blundell
57.0,55.0,9.0,96.49122807017544,6.111111111111111,1317.0,1704.0,76.0,7.763097949886105,22.42105263157895,TA Boult
205.0,273.0,16.0,133.1707317073171,17.0625,132.0,189.0,9.0,8.590909090909092,21.0,TAM Siriwardana
212.0,277.0,10.0,130.66037735849056,27.7,,,,8.0,30.0,TB Robinson
29.0,45.0,3.0,155.17241379310346,15.0,78.0,74.0,4.0,5.692307692307692,18.5,TB Sole
16.0,26.0,2.0,162.5,13.0,,,,8.0,30.0,TB de Bruyn
228.0,279.0,13.0,122.36842105263158,21.46153846153846,,,,8.0,30.0,TC Bruce
10.0,4.0,2.0,40.0,2.0,78.0,118.0,7.0,9.076923076923077,16.857142857142858,TD Astle
22.0,25.0,2.0,113.63636363636364,12.5,,,,8.0,30.0,TD Paine
31.0,37.0,2.0,119.35483870967742,18.5,49.0,65.0,4.0,7.959183673469387,16.25,TE Kane
,,,120.0,25.0,6.0,9.0,0.0,9.0,9.0,TF van Woerkom
34.0,28.0,2.0,82.35294117647058,14.0,,,,8.0,30.0,TG Gordon
188.0,274.0,24.0,145.74468085106383,11.416666666666666,2331.0,3110.0,145.0,8.005148005148005,21.448275862068964,TG Southee
40.0,40.0,2.0,100.0,20.0,72.0,75.0,3.0,6.25,25.0,TGJ Gruijters
379.0,614.0,22.0,162.0052770448549,27.90909090909091,,,,8.0,30.0,TH David
9.0,7.0,1.0,77.77777777777779,7.0,,,,8.0,30.0,TH Tector
20.0,23.0,1.0,114.99999999999999,23.0,221.0,250.0,12.0,6.787330316742081,20.833333333333332,TJ Murtagh
109.0,104.0,11.0,95.41284403669725,9.454545454545455,342.0,387.0,16.0,6.789473684210526,24.1875,TJG Pringle
56.0,64.0,6.0,114.28571428571428,10.666666666666666,588.0,893.0,32.0,9.112244897959183,27.90625,TK Curran
107.0,127.0,9.0,118.69158878504673,14.11111111111111,,,,8.0,30.0,TK Musakanda
9.0,17.0,0.0,188.88888888888889,17.0,120.0,160.0,7.0,8.0,22.857142857142858,TL Best
49.0,23.0,5.0,46.93877551020408,4.6,999.0,1194.0,55.0,7.171171171171171,21.70909090909091,TL Chatara
,,,120.0,25.0,39.0,64.0,0.0,9.846153846153847,64.0,TL Chivanga
1148.0,1652.0,60.0,143.90243902439025,27.533333333333335,,,,8.0,30.0,TL Seifert
420.0,508.0,23.0,120.95238095238095,22.08695652173913,90.0,118.0,3.0,7.866666666666667,39.333333333333336,TLW Cooper
803.0,911.0,40.0,113.44956413449565,22.775,108.0,129.0,4.0,7.166666666666666,32.25,TM Dilshan
667.0,1080.0,31.0,161.9190404797601,34.83870967741935,36.0,55.0,1.0,9.166666666666666,55.0,TM Head
12.0,3.0,2.0,25.0,1.5,42.0,31.0,4.0,4.428571428571429,7.75,TM Odoyo
64.0,59.0,3.0,92.1875,19.666666666666668,,,,8.0,30.0,TN de Grooth
437.0,635.0,25.0,145.30892448512586,25.4,,,,8.0,30.0,TP Ura
287.0,430.0,22.0,149.82578397212544,19.545454545454547,,,,8.0,30.0,TP Visee
21.0,17.0,1.0,80.95238095238095,17.0,,,,8.0,30.0,TR Birt
29.0,31.0,1.0,106.89655172413792,31.0,48.0,66.0,2.0,8.25,33.0,TS Braat
40.0,33.0,3.0,82.5,11.0,246.0,260.0,9.0,6.341463414634147,28.88888888888889,TS Chisoro
245.0,255.0,13.0,104.08163265306123,19.615384615384617,,,,8.0,30.0,TS Kamunhukamwe
12.0,8.0,3.0,66.66666666666666,2.6666666666666665,304.0,451.0,17.0,8.901315789473685,26.529411764705884,TS Mills
100.0,138.0,7.0,138.0,19.714285714285715,275.0,401.0,11.0,8.74909090909091,36.45454545454545,TT Bresnan
31.0,35.0,1.0,112.90322580645163,35.0,66.0,101.0,6.0,9.181818181818182,16.833333333333332,TT Maposa
,,,120.0,25.0,36.0,54.0,2.0,9.0,27.0,TU Deshpande
473.0,512.0,19.0,108.24524312896406,26.94736842105263,,,,8.0,30.0,TWM Latham
,,,120.0,25.0,18.0,19.0,1.0,6.333333333333334,19.0,TZ Chataira
,,,120.0,25.0,18.0,24.0,1.0,8.0,24.0,Taijul Islam
1011.0,1259.0,46.0,124.53016815034619,27.369565217391305,,,,8.0,30.0,Tamim Iqbal
,,,120.0,25.0,51.0,77.0,2.0,9.058823529411764,38.5,Tanveer Ahmed
16.0,12.0,1.0,75.0,12.0,102.0,139.0,4.0,8.176470588235293,34.75,Tanvir Islam
101.0,128.0,8.0,126.73267326732673,16.0,222.0,259.0,14.0,7.0,18.5,Tanwir Afzal
352.0,449.0,20.0,127.55681818181819,22.45,,,,8.0,30.0,Tanzid Hasan
86.0,79.0,6.0,91.86046511627907,13.166666666666666,419.0,613.0,29.0,8.778042959427207,21.137931034482758,Tanzim Hasan Sakib
194.0,193.0,17.0,99.48453608247422,11.352941176470589,1422.0,1804.0,84.0,7.6118143459915615,21.476190476190474,Taskin Ahmed
63.0,84.0,3.0,133.33333333333331,28.0,,,,8.0,30.0,Tayyab Tahir
456.0,713.0,15.0,156.359649122807,47.53333333333333,30.0,26.0,2.0,5.2,13.0,Tilak Varma
482.0,627.0,25.0,130.08298755186723,25.08,2.0,5.0,0.0,15.0,5.0,Towhid Hridoy
182.0,241.0,8.0,132.41758241758242,30.125,,,,8.0,30.0,UT Khawaja
20.0,21.0,1.0,105.0,21.0,180.0,279.0,14.0,9.3,19.928571428571427,UT Yadav
